วันเวลา,รูปภาพ,สถานที่
2025-10-16 13:45:07,without_mask_2025-10-16_13-45-07.jpg,อาคาร 7
2025-10-16 13:45:20,without_mask_2025-10-16_13-45-20.jpg,อาคาร 7
2025-10-16 13:47:45,without_mask_2025-10-16_13-47-45.jpg,อาคาร 7
2025-10-16 13:47:53,without_mask_2025-10-16_13-47-53.jpg,อาคาร 7
2025-10-16 13:48:32,without_mask_2025-10-16_13-48-32.jpg,อาคาร 7
2025-10-16 13:50:02,without_mask_2025-10-16_13-50-02.jpg,อาคาร 7
2025-10-16 13:50:24,without_mask_2025-10-16_13-50-24.jpg,อาคาร 7
2025-10-16 13:50:26,without_mask_2025-10-16_13-50-26.jpg,อาคาร 7
2025-10-16 13:50:29,without_mask_2025-10-16_13-50-29.jpg,อาคาร 7
2025-10-16 13:50:34,without_mask_2025-10-16_13-50-34.jpg,อาคาร 7
2025-10-16 13:50:38,without_mask_2025-10-16_13-50-38.jpg,อาคาร 7
2025-10-16 13:50:41,without_mask_2025-10-16_13-50-41.jpg,อาคาร 7
2025-10-16 13:50:44,without_mask_2025-10-16_13-50-44.jpg,อาคาร 7
2025-10-16 13:50:48,without_mask_2025-10-16_13-50-48.jpg,อาคาร 7
2025-10-27 03:29:31,without_mask_2025-10-27_03-29-31.jpg,Cafeteria
2025-10-27 03:29:33,without_mask_2025-10-27_03-29-33.jpg,Cafeteria
2025-10-27 03:30:24,without_mask_2025-10-27_03-30-24.jpg,Cafeteria
2025-10-27 03:30:26,without_mask_2025-10-27_03-30-26.jpg,Cafeteria
2025-10-27 03:30:28,without_mask_2025-10-27_03-30-28.jpg,Cafeteria
2025-10-27 03:30:30,without_mask_2025-10-27_03-30-30.jpg,Cafeteria
2025-10-27 03:30:32,without_mask_2025-10-27_03-30-32.jpg,Cafeteria
2025-10-27 03:30:34,without_mask_2025-10-27_03-30-34.jpg,Cafeteria
2025-10-27 03:30:36,without_mask_2025-10-27_03-30-36.jpg,Cafeteria
2025-10-27 03:30:39,without_mask_2025-10-27_03-30-39.jpg,Cafeteria
2025-10-27 03:30:42,without_mask_2025-10-27_03-30-42.jpg,Cafeteria
2025-10-27 03:30:44,without_mask_2025-10-27_03-30-44.jpg,Cafeteria
2025-10-27 03:30:46,without_mask_2025-10-27_03-30-46.jpg,Cafeteria
2025-10-27 22:46:53,without_mask_2025-10-27_22-46-53.jpg,Library
2025-10-27 22:46:55,without_mask_2025-10-27_22-46-55.jpg,Library
2025-10-27 22:46:57,without_mask_2025-10-27_22-46-57.jpg,Library
2025-10-27 22:46:59,without_mask_2025-10-27_22-46-59.jpg,Library
2025-10-27 22:47:01,without_mask_2025-10-27_22-47-01.jpg,Library
2025-10-27 22:47:03,without_mask_2025-10-27_22-47-03.jpg,Library
2025-10-27 22:47:05,without_mask_2025-10-27_22-47-05.jpg,Library
2025-10-27 22:47:07,without_mask_2025-10-27_22-47-07.jpg,Library
